_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
2041,2041,007604-B02,AFFORDABLE HOUSING BLDG #2 AT 4626 KINGSTON RD,4626 KINGSTON RD,SCARBOROUGH,Scarborough-Rouge Park,None,East,Internal Services Group,Multi-Unit Residence,Sale (Lease >20 Years),Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,691,7434,1992,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1800114673297, 43.7755604459867]]}"
2042,2042,005009-B03,HIGHLAND CREEK SPORTS PAD GREEN CLUBHOUSE,4670 KINGSTON RD,SCARBOROUGH,Scarborough-Rouge Park,Toronto (Amal),East,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,84,900,1978,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1750227933852, 43.7762850591787]]}"
2043,2043,007660-B01,GOVERNORS BRIDGE SEWER PUMPING STATION (UNDERGROUND),"7 HAMPTON PARK CRES, NE",EAST YORK,University-Rosedale,None,South,Citizen-Focused Services Group B,Pumping Station - Underground,City Use,Toronto Water,Toronto Water,City of Toronto,3,32,1999,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3623359077364, 43.6913915542179]]}"
2044,2044,006685-B01,POLICE CENTRAL GARAGE & TRAFFIC SERVICES,9 HANNA AVE,TORONTO,Spadina-Fort York,Toronto (Old),South,Internal Services Group,Yard Garage,City Use,Toronto Police Service,Toronto Police Service,City of Toronto,27685,297999,2006,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.417220801414, 43.6376228367342]]}"
2045,2045,001938-B01,HOWARD TALBOT PARK - LEASIDE LAWN BOWLING CLUBHOUSE,190 HANNA RD,TORONTO,Don Valley West,East York,North,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,221,2379,1953,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3708423713643, 43.7107758644658]]}"
2046,2046,006987-B01,HARBOUR SQ - POLICE ROOFTOP ANTENNA,1 HARBOUR SQ,TORONTO,Spadina-Fort York,Toronto (Amal),South,None,Control/Operating Building,City Use,Landlord,Toronto Police Service,Third Party Organization,8,90,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37586457045, 43.6408942438847]]}"
2047,2047,006249-B01,TORONTO TRACK & FIELD SPORTS CENTRE (YORK UNIV. CAMPUS),231 IAN MACDONALD BLVD,NORTH YORK,Humber River-Black Creek,North York,West,Citizen-Focused Services Group A,Arena & Community Rec Center,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,4137,44530,1979,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5069321902989, 43.7764674101947]]}"
2048,2048,005192-B01,INDIAN GROVE SUBSTATION,139 INDIAN GRV,TORONTO,Parkdale-High Park,Metro Toronto,South,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,9591,103238,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4588337909874, 43.6557430580049]]}"
2049,2049,006204-B05,TTC MOUNT DENNIS BUS GARAGE,121 INDUSTRY ST,YORK,York South-Weston,Toronto (Amal),West,"Agencies, Boards, and Commissions",TTC Carhouse/Depot,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,23575,253759,2007,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4938607780752, 43.6933646922848]]}"
2050,2050,007154-B01,FIRE HALL NO. 144,2945 KEELE ST,NORTH YORK,York Centre,None,North,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,1200,12917,2021,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4833157393748, 43.7352376372053]]}"
2051,2051,006927-B01,FIRE HALL NO. 141,4100 KEELE ST,NORTH YORK,Humber River-Black Creek,North York,West,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,1115,12000,2011,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4927235946077, 43.7668215104353]]}"
2052,2052,005442-B05,TORONTO AZZURRI SOCCER CLUBHOUSE,4995 KEELE ST,NORTH YORK,York Centre,None,North,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation",Not-For-Profit Organization,City of Toronto,541,5820,2013,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4940702933701, 43.7790334272645]]}"
2053,2053,005442-B04,KEELE RESERVOIR - UNDERGROUND METER HOUSE,4995 KEELE ST,NORTH YORK,York Centre,Toronto (Amal),North,Citizen-Focused Services Group B,Pumping Station - Underground,City Use,Toronto Water,Toronto Water,City of Toronto,7,78,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4940702933701, 43.7790334272645]]}"
2054,2054,005009-B02,HIGHLAND CREEK SPORTS PAD - STORAGE SHED #1,4670 KINGSTON RD,SCARBOROUGH,Scarborough-Rouge Park,Metro Toronto,East,Citizen-Focused Services Group A,Park Storage Building,Potentially Surplus,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,27,293,1978,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1750227933852, 43.7762850591787]]}"
2055,2055,005009-B01,HIGHLAND CREEK SPORTS PAD - STORAGE SHED #2,4670 KINGSTON RD,SCARBOROUGH,Scarborough-Rouge Park,Scarborough,East,Citizen-Focused Services Group A,Park Storage Building,Potentially Surplus,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,10,107,,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1750227933852, 43.7762850591787]]}"
2056,2056,004778-B01,W J MORRISH HOUSE,6282 KINGSTON RD,SCARBOROUGH,Scarborough-Rouge Park,Scarborough,East,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,City of Toronto,376,4043,1889,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1624647260107, 43.788777653584]]}"
2057,2057,002960-B09,EDWARDS GARDENS - STAFF CHANGE & LUNCH ROOMS,755 LAWRENCE AVE E,TORONTO,Don Valley West,Toronto (Amal),North,Citizen-Focused Services Group A,Yard Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,60,650,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3593881650001, 43.7341363878809]]}"
2058,2058,002960-B08,EDWARDS GARDENS - PICNIC SHELTER,755 LAWRENCE AVE E,NORTH YORK,Don Valley West,Toronto (Amal),North,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,74,800,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3593881650001, 43.7341363878809]]}"
2059,2059,002960-B04,EDWARDS GARDENS - FREE STANDING GREENHOUSE,755 LAWRENCE AVE E,TORONTO,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Greenhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,52,560,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3593881650001, 43.7341363878809]]}"
2060,2060,002960-B06,EDWARDS GARDENS - CONCESSION & SERVICE BLDG,755 LAWRENCE AVE E,TORONTO,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,739,7955,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3593881650001, 43.7341363878809]]}"
2061,2061,000582-B34,ASHBRIDGES BAY TP - DECANT TANKS,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,1564,16832,1988,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2062,2062,000582-B32,ASHBRIDGES BAY TP - PELLETIZER BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2740,29493,2001,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2063,2063,000582-B31,ASHBRIDGES BAY TP - INCINERATOR BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Miscellaneous Facility,City Use,Toronto Water,Toronto Water,City of Toronto,10301,110875,1975,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2064,2064,000582-B30,ASHBRIDGES BAY TP - 'P' BUILDING,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2310,24865,1974,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2065,2065,000582-B29,ASHBRIDGES BAY TP - OLD PUMPING STATION BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,123,1320,1941,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2066,2066,001785-B01,FRANCOPHONE CENTRE OF TORONTO,20 LOWER SPADINA AVE,TORONTO,Spadina-Fort York,Toronto (Old),South,Internal Services Group,Office Building - Large,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,724,7795,1919,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3925171070796, 43.6381076797024]]}"
2067,2067,004316-B01,TTC TRANSFORMER & ELECTRICAL CONTROL ROOM,21 LOWER SPADINA AVE,TORONTO,Spadina-Fort York,None,South,"Agencies, Boards, and Commissions",Control/Operating Building,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,192,2071,1988,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3918450907395, 43.6383770962808]]}"
2068,2068,002854-B01,FIRE HALL NO. 434,3 LUNNESS RD,ETOBICOKE,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,482,5188,1958,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5439889406404, 43.6025703358919]]}"
2069,2069,000822-B01,LYTTON PARK - TENNIS STORAGE (BLDG #3),200 LYTTON BLVD,TORONTO,Eglinton-Lawrence,Toronto (Old),North,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,36,384,1963,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4112348321487, 43.7146224156278]]}"
2070,2070,000531-B02,SUNNYSIDE PARK - OUTDOOR POOL SERVICE BLDG,1751 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,207,2228,1964,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4563724680001, 43.6376628635265]]}"
2071,2071,000531-B05,SUNNYSIDE PARK - BATHING PAVILION,1755 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,2570,27662,1980,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4563724680001, 43.6376628635265]]}"
2072,2072,000531-B01,SUNNYSIDE PARK - CONCESSION BLDG,1771 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,60,646,1967,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4577415153383, 43.6377146766757]]}"
2073,2073,000533-B07,SIR CASIMIR GZOWSKI PARK - JOY OIL GAS STATION,2001 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Museum/Heritage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,93,1000,1937,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4670118588651, 43.6351197033979]]}"
2074,2074,002960-B03,"EDWARDS GARDENS - YARD OFFICE, GARAGE & GREENHOUSE",755 LAWRENCE AVE E,NORTH YORK,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Yard Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,497,5350,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3593881650001, 43.7341363878809]]}"
2075,2075,002960-B02,EDWARDS GARDENS - GARAGE & STORAGE BLDG,777 LAWRENCE AVE E,NORTH YORK,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Yard Garage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,30,323,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3586637804487, 43.7343375450097]]}"
2076,2076,002960-B05,EDWARDS GARDENS - FIELDHOUSE & STORAGE,777 LAWRENCE AVE E,NORTH YORK,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,28,301,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3586637804487, 43.7343375450097]]}"
2077,2077,002960-B01,EDWARDS GARDENS - WASHROOM,777 LAWRENCE AVE E,NORTH YORK,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,43,463,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3586637804487, 43.7343375450097]]}"
2078,2078,000582-B28,ASHBRIDGES BAY TP - OLD NORTH SUB-STATION,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,390,4194,1988,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2079,2079,000582-B27,ASHBRIDGES BAY TP - OLD GRIT BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,879,9459,1947,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2080,2080,000582-B26,ASHBRIDGES BAY TP - OLD ADMIN/LABORATORY,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,486,5233,1950,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2081,2081,000582-B21,ASHBRIDGES BAY TP - DEWATERING FILTER BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2254,24261,1963,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2082,2082,000582-B25,ASHBRIDGES BAY TP - NEW PUMPING STATION BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,93,1004,1974,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2083,2083,000822-B02,LYTTON PARK - LAWN BOWLING STORAGE (BLDG #4),200 LYTTON BLVD,TORONTO,Eglinton-Lawrence,Toronto (Old),North,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,49,525,1971,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4112348321487, 43.7146224156278]]}"
2084,2084,000822-B03,LYTTON PARK - TENNIS CLUBHOUSE & WASHROOM (BLDG #1),200 LYTTON BLVD,TORONTO,Eglinton-Lawrence,Toronto (Old),North,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,96,1033,1976,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4112348321487, 43.7146224156278]]}"
2085,2085,000822-B04,LYTTON PARK - LAWN BOWLING CLUBHOUSE (BLDG #2),200 LYTTON BLVD,TORONTO,Eglinton-Lawrence,Toronto (Old),North,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,135,1453,1969,8,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4112348321487, 43.7146224156278]]}"
2086,2086,000990-B01,SUNNYSIDE SEWAGE PUMPING STATION,1575 Lake Shore Blvd W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,300,3229,1956,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4464362598803, 43.6368288203219]]}"
2087,2087,000533-B02,SIR CASIMIR GZOWSKI PARK - ROYAL BURGER CONCESSION,2001 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,63,678,1967,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4670118588651, 43.6351197033979]]}"
2088,2088,000533-B03,SIR CASIMIR GZOWSKI PARK - EAST PICNIC SHELTER,2001 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2000,1956,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4670118588651, 43.6351197033979]]}"
2089,2089,000533-B01,SIR CASIMIR GZOWSKI PARK - WEST PICNIC SHELTER,2001 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Picnic Shelter/Gazebo,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,1997,1956,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4670118588651, 43.6351197033979]]}"
2090,2090,000533-B04,SIR CASIMIR GZOWSKI PARK - FIELDHOUSE & WASHROOM,2001 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,78,840,1958,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4670118588651, 43.6351197033979]]}"
2091,2091,002960-B07,EDWARDS GARDENS - TORONTO BOTANICAL GARDEN CENTRE,777 LAWRENCE AVE E,NORTH YORK,Don Valley West,Toronto (Amal),North,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,2025,21800,1964,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3586637804487, 43.7343375450097]]}"
2092,2092,004939-B01,DON MILLS REGIONAL BRANCH LIBRARY,888 LAWRENCE AVE E,TORONTO,Don Valley East,North York,North,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,2003,21560,1961,16,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3474755394278, 43.7366195824926]]}"
2093,2093,005443-B01,CHARLES SAURIOL CONSERVATION AREA - MILNE HOUSE,1191 LAWRENCE AVE E,NORTH YORK,Don Valley East,None,North,Citizen-Focused Services Group A,Museum/Heritage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Toronto & Region Conservation Authority,63,676,1865,16,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3286044335662, 43.7392628569922]]}"
2094,2094,003377-B03,MCGREGOR PARK PUBLIC LIBRARY,2219 LAWRENCE AVE E,TORONTO,Scarborough Centre,Scarborough,East,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,727,7825,1960,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2810877162118, 43.7479023170519]]}"
2095,2095,000582-B24,ASHBRIDGES BAY TP - THERMAL CONDITION BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2991,32197,1976,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2096,2096,000582-B23,ASHBRIDGES BAY TP - HEAT RECOVERY BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,4532,48779,1988,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2097,2097,000582-B09,ASHBRIDGES BAY TP - AERATION PIPE GALLERY,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,4467,48080,1957,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2098,2098,000582-B08,ASHBRIDGES BAY TP - CHLORINATION BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,379,4081,1950,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2099,2099,000582-B07,ASHBRIDGES BAY TP - ADMINISTRATION BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Office Building - Large,City Use,Toronto Water,Toronto Water,City of Toronto,4200,45208,1976,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2100,2100,003721-B01,AFFORDABLE RENTAL HOUSING - 56 UNIT MODULAR BUILDING,11 MACEY AVE,SCARBOROUGH,Scarborough Southwest,None,East,Citizen-Focused Services Group A,Multi-Unit Residence,City Use,Housing Secretariat,Housing Secretariat,City of Toronto,2216,23850,2020,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2867275750583, 43.6927387689936]]}"
2101,2101,000606-B01,FIRE HALL NO. 226,87 MAIN ST,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,1097,11808,1910,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2990652659353, 43.6819233409924]]}"
2102,2102,000716-B01,COMMUNITY CENTRE 55,97 MAIN ST,TORONTO,Beaches-East York,Toronto (Old),South,Internal Services Group,Community Recreation Centre,City Use,"Social Development, Finance & Administration",Board of Management - Community Centres,City of Toronto,836,9000,1911,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2991308448294, 43.6820931399186]]}"
2103,2103,001599-B01,MAIN STREET PUBLIC LIBRARY,137 MAIN ST,TORONTO,Beaches-East York,Toronto (Old),South,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,805,8665,1921,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.299467289531, 43.6833632480486]]}"
2104,2104,000533-B08,SIR CASIMIR GZOWSKI PARK - TRANS CANADA TRAIL PAVILION,2001 LAKE SHORE BLVD W,TORONTO,Parkdale-High Park,None,South,Citizen-Focused Services Group A,Pavilion,City Use,"Parks, Forestry & Recreation",Not-For-Profit Organization,City of Toronto,15,165,2003,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4670118588651, 43.6351197033979]]}"
2105,2105,000579-B50,HUMBER WASTEWATER TP - PALACE PIER SAMPLING STATION,2045 LAKE SHORE BLVD W,ETOBICOKE,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,30,323,1993,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4745155052064, 43.6315001748956]]}"
2106,2106,002835-B04,AMOS WAITES PARK - OUTDOOR POOL SERVICE BLDG & WASHROOM,2441 LAKE SHORE BLVD W,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,102,1098,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4889292810243, 43.613678499855]]}"
2107,2107,002835-B03,STOREFRONT HUMBER - SERVICES FOR SENIORS,2445 LAKE SHORE BLVD W,ETOBICOKE,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,406,4365,1960,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4888424872012, 43.6135251612383]]}"
2108,2108,003377-B01,MCGREGOR PARK COMMUNITY CENTRE,2231 LAWRENCE AVE E,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,1889,20333,1999,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2801490008504, 43.7476285889232]]}"
2109,2109,003377-B02,MCGREGOR PARK ARENA,2231 LAWRENCE AVE E,TORONTO,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Arena,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,3156,33967,1970,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2801490008504, 43.7476285889232]]}"
2110,2110,005342-B03,EMS N/E - DISTRICT 2 OFFICE & EMS STATION NO. 20,2430 LAWRENCE AVE E,SCARBOROUGH,Scarborough Centre,Metro Toronto,East,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,723,7782,1970,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2713595763141, 43.7508972063838]]}"
2111,2111,005342-B02,BUILDING AT 2440 LAWRENCE AVE W,2440 LAWRENCE AVE E,SCARBOROUGH,Scarborough Centre,Metro Toronto,East,Internal Services Group,Police Station/Facility,City Use,Toronto Police Service,Facilities Management & Real Estate Services,City of Toronto,753,8100,2002,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2706120573135, 43.7509327485454]]}"
2112,2112,000582-B05,ASHBRIDGES BAY TP - AUXILIARY SERVICES BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Yard Service Building,City Use,Toronto Water,Toronto Water,City of Toronto,3174,34165,1987,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
